년도,분기,광역시도,시군구,업종,값(퍼센트(％))
1년 생존율,2,서울,강남구,외식업,70.2
3년 생존율,2,서울,강남구,외식업,39.3
5년 생존율,2,서울,강남구,외식업,23.7
1년 생존율,3,서울,강남구,서비스업,78.8
3년 생존율,3,서울,강남구,서비스업,58
5년 생존율,3,서울,강남구,서비스업,48.4
1년 생존율,3,서울,강남구,소매업,79.9
3년 생존율,3,서울,강남구,소매업,56.4
5년 생존율,3,서울,강남구,소매업,44.1
1년 생존율,3,서울,강남구,외식업,71.6
3년 생존율,3,서울,강남구,외식업,39.9
5년 생존율,3,서울,강남구,외식업,25.2
1년 생존율,4,서울,강남구,서비스업,77.6
3년 생존율,4,서울,강남구,서비스업,59.3
5년 생존율,4,서울,강남구,서비스업,48.3
1년 생존율,4,서울,강남구,소매업,76.2
3년 생존율,4,서울,강남구,소매업,54
5년 생존율,4,서울,강남구,소매업,42.4
1년 생존율,4,서울,강남구,외식업,67.2
3년 생존율,4,서울,강남구,외식업,38.9
5년 생존율,4,서울,강남구,외식업,26.9
1년 생존율,1,서울,강남구,서비스업,80.7
3년 생존율,1,서울,강남구,서비스업,58.8
5년 생존율,1,서울,강남구,서비스업,50.3
1년 생존율,1,서울,강남구,소매업,77.2
3년 생존율,1,서울,강남구,소매업,55
5년 생존율,1,서울,강남구,소매업,46.6
1년 생존율,1,서울,강남구,외식업,67.9
3년 생존율,1,서울,강남구,외식업,38.4
5년 생존율,1,서울,강남구,외식업,30.2
1년 생존율,2,서울,강남구,서비스업,80.8
3년 생존율,2,서울,강남구,서비스업,59
5년 생존율,2,서울,강남구,서비스업,49.2
1년 생존율,2,서울,강남구,소매업,77.2
3년 생존율,2,서울,강남구,소매업,55
5년 생존율,2,서울,강남구,소매업,45.3
1년 생존율,2,서울,강남구,외식업,67.9
3년 생존율,2,서울,강남구,외식업,38.5
5년 생존율,2,서울,강남구,외식업,28.8
1년 생존율,3,서울,강남구,서비스업,80.8
3년 생존율,3,서울,강남구,서비스업,58.9
5년 생존율,3,서울,강남구,서비스업,47.7
1년 생존율,3,서울,강남구,소매업,77.3
3년 생존율,3,서울,강남구,소매업,55.1
5년 생존율,3,서울,강남구,소매업,44.5
1년 생존율,3,서울,강남구,외식업,67.9
3년 생존율,3,서울,강남구,외식업,38.5
5년 생존율,3,서울,강남구,외식업,27.6
1년 생존율,1,서울,강동구,서비스업,78
3년 생존율,1,서울,강동구,서비스업,49.8
5년 생존율,1,서울,강동구,서비스업,39.3
1년 생존율,1,서울,강동구,소매업,73.4
3년 생존율,1,서울,강동구,소매업,50.8
5년 생존율,1,서울,강동구,소매업,38.5
1년 생존율,1,서울,강동구,외식업,63.7
3년 생존율,1,서울,강동구,외식업,35.4
5년 생존율,1,서울,강동구,외식업,23
1년 생존율,2,서울,강동구,서비스업,80.3
3년 생존율,2,서울,강동구,서비스업,49.3
5년 생존율,2,서울,강동구,서비스업,40.2
1년 생존율,2,서울,강동구,소매업,73.9
3년 생존율,2,서울,강동구,소매업,48.6
5년 생존율,2,서울,강동구,소매업,38
1년 생존율,2,서울,강동구,외식업,65.7
3년 생존율,2,서울,강동구,외식업,36.9
5년 생존율,2,서울,강동구,외식업,23.7
1년 생존율,3,서울,강동구,서비스업,82.4
3년 생존율,3,서울,강동구,서비스업,49.1
5년 생존율,3,서울,강동구,서비스업,39.4
1년 생존율,3,서울,강동구,소매업,75.8
3년 생존율,3,서울,강동구,소매업,51.1
5년 생존율,3,서울,강동구,소매업,35.2
1년 생존율,3,서울,강동구,외식업,67.6
3년 생존율,3,서울,강동구,외식업,39
5년 생존율,3,서울,강동구,외식업,24.3
1년 생존율,4,서울,강동구,서비스업,81.9
3년 생존율,4,서울,강동구,서비스업,49.3
5년 생존율,4,서울,강동구,서비스업,38.2
1년 생존율,4,서울,강동구,소매업,76.1
3년 생존율,4,서울,강동구,소매업,50.6
5년 생존율,4,서울,강동구,소매업,34.7
1년 생존율,4,서울,강동구,외식업,68.8
3년 생존율,4,서울,강동구,외식업,36.4
5년 생존율,4,서울,강동구,외식업,24.4
1년 생존율,1,서울,강동구,서비스업,80.6
3년 생존율,1,서울,강동구,서비스업,54.8
5년 생존율,1,서울,강동구,서비스업,37.5
1년 생존율,1,서울,강동구,소매업,74.3
3년 생존율,1,서울,강동구,소매업,50.8
5년 생존율,1,서울,강동구,소매업,35.4
1년 생존율,1,서울,강동구,외식업,68.8
3년 생존율,1,서울,강동구,외식업,36.4
5년 생존율,1,서울,강동구,외식업,23.3
1년 생존율,2,서울,강동구,서비스업,77.3
3년 생존율,2,서울,강동구,서비스업,55.5
5년 생존율,2,서울,강동구,서비스업,36.2
1년 생존율,2,서울,강동구,소매업,74.7
3년 생존율,2,서울,강동구,소매업,53.3
5년 생존율,2,서울,강동구,소매업,36.8
1년 생존율,2,서울,강동구,외식업,66.8
3년 생존율,2,서울,강동구,외식업,34.7
5년 생존율,2,서울,강동구,외식업,22.7
1년 생존율,3,서울,강동구,서비스업,77
3년 생존율,3,서울,강동구,서비스업,54.3
5년 생존율,3,서울,강동구,서비스업,36.9
1년 생존율,3,서울,강동구,소매업,73.5
3년 생존율,3,서울,강동구,소매업,53.7
5년 생존율,3,서울,강동구,소매업,38.9
1년 생존율,3,서울,강동구,외식업,68.1
3년 생존율,3,서울,강동구,외식업,32.6
5년 생존율,3,서울,강동구,외식업,22.3
1년 생존율,4,서울,강동구,서비스업,76.8
3년 생존율,4,서울,강동구,서비스업,53
5년 생존율,4,서울,강동구,서비스업,36.1
1년 생존율,4,서울,강동구,소매업,73.2
3년 생존율,4,서울,강동구,소매업,50.6
5년 생존율,4,서울,강동구,소매업,38.7
1년 생존율,4,서울,강동구,외식업,66.5
3년 생존율,4,서울,강동구,외식업,32.5
5년 생존율,4,서울,강동구,외식업,22.1
1년 생존율,1,서울,강동구,서비스업,77.2
3년 생존율,1,서울,강동구,서비스업,51
5년 생존율,1,서울,강동구,서비스업,37.3
1년 생존율,1,서울,강동구,소매업,75.4
3년 생존율,1,서울,강동구,소매업,50.9
5년 생존율,1,서울,강동구,소매업,38.9
1년 생존율,1,서울,강동구,외식업,67.1
3년 생존율,1,서울,강동구,외식업,33.9
5년 생존율,1,서울,강동구,외식업,22.7
1년 생존율,2,서울,강동구,서비스업,78.1
3년 생존율,2,서울,강동구,서비스업,54.7
5년 생존율,2,서울,강동구,서비스업,37.1
1년 생존율,2,서울,강동구,소매업,75.4
3년 생존율,2,서울,강동구,소매업,49.4
5년 생존율,2,서울,강동구,소매업,37.3
1년 생존율,2,서울,강동구,외식업,68.4
3년 생존율,2,서울,강동구,외식업,37.3
5년 생존율,2,서울,강동구,외식업,23.4
1년 생존율,3,서울,강동구,서비스업,76.9
3년 생존율,3,서울,강동구,서비스업,57.9
5년 생존율,3,서울,강동구,서비스업,38.4
1년 생존율,3,서울,강동구,소매업,75.6
3년 생존율,3,서울,강동구,소매업,49.9
5년 생존율,3,서울,강동구,소매업,38.7
1년 생존율,3,서울,강동구,외식업,70.3
3년 생존율,3,서울,강동구,외식업,38.6
5년 생존율,3,서울,강동구,외식업,24.4
1년 생존율,4,서울,강동구,서비스업,74.9
3년 생존율,4,서울,강동구,서비스업,56.7
5년 생존율,4,서울,강동구,서비스업,38.6
1년 생존율,4,서울,강동구,소매업,73.5
3년 생존율,4,서울,강동구,소매업,52
5년 생존율,4,서울,강동구,소매업,37.7
1년 생존율,4,서울,강동구,외식업,71.3
3년 생존율,4,서울,강동구,외식업,40
5년 생존율,4,서울,강동구,외식업,23.2
1년 생존율,1,서울,강동구,서비스업,74.8
3년 생존율,1,서울,강동구,서비스업,57.1
5년 생존율,1,서울,강동구,서비스업,42.9
1년 생존율,1,서울,강동구,소매업,72
3년 생존율,1,서울,강동구,소매업,49.9
5년 생존율,1,서울,강동구,소매업,38.5
1년 생존율,1,서울,강동구,외식업,72.4
3년 생존율,1,서울,강동구,외식업,40.6
5년 생존율,1,서울,강동구,외식업,23
1년 생존율,2,서울,강동구,서비스업,74.8
3년 생존율,2,서울,강동구,서비스업,54
5년 생존율,2,서울,강동구,서비스업,41.6
1년 생존율,2,서울,강동구,소매업,72.3
3년 생존율,2,서울,강동구,소매업,51.6
5년 생존율,2,서울,강동구,소매업,40.8
1년 생존율,2,서울,강동구,외식업,70.2
3년 생존율,2,서울,강동구,외식업,40.3
5년 생존율,2,서울,강동구,외식업,22
1년 생존율,3,서울,강동구,서비스업,77.6
3년 생존율,3,서울,강동구,서비스업,54.4
5년 생존율,3,서울,강동구,서비스업,40.4
1년 생존율,3,서울,강동구,소매업,74.6
3년 생존율,3,서울,강동구,소매업,50.3
5년 생존율,3,서울,강동구,소매업,42.1
1년 생존율,3,서울,강동구,외식업,70.6
3년 생존율,3,서울,강동구,외식업,39.4
5년 생존율,3,서울,강동구,외식업,21.2
1년 생존율,4,서울,강동구,서비스업,76.3
3년 생존율,4,서울,강동구,서비스업,53
5년 생존율,4,서울,강동구,서비스업,40
1년 생존율,4,서울,강동구,소매업,74.4
3년 생존율,4,서울,강동구,소매업,50.8
5년 생존율,4,서울,강동구,소매업,39.1
1년 생존율,4,서울,강동구,외식업,64.6
3년 생존율,4,서울,강동구,외식업,32.5
5년 생존율,4,서울,강동구,외식업,21
1년 생존율,1,서울,강동구,서비스업,81.9
3년 생존율,1,서울,강동구,서비스업,56.8
5년 생존율,1,서울,강동구,서비스업,45.1
1년 생존율,1,서울,강동구,소매업,76.5
3년 생존율,1,서울,강동구,소매업,52.6
5년 생존율,1,서울,강동구,소매업,42.9
1년 생존율,1,서울,강동구,외식업,69.1
3년 생존율,1,서울,강동구,외식업,40.4
5년 생존율,1,서울,강동구,외식업,29.3
1년 생존율,2,서울,강동구,서비스업,81.9
3년 생존율,2,서울,강동구,서비스업,56.9
5년 생존율,2,서울,강동구,서비스업,44.3
1년 생존율,2,서울,강동구,소매업,76.4
3년 생존율,2,서울,강동구,소매업,52.4
5년 생존율,2,서울,강동구,소매업,41
1년 생존율,2,서울,강동구,외식업,69
3년 생존율,2,서울,강동구,외식업,40.2
5년 생존율,2,서울,강동구,외식업,27.7
1년 생존율,3,서울,강동구,서비스업,81.9
3년 생존율,3,서울,강동구,서비스업,56.8
5년 생존율,3,서울,강동구,서비스업,43.4
1년 생존율,3,서울,강동구,소매업,76.4
3년 생존율,3,서울,강동구,소매업,52.3
5년 생존율,3,서울,강동구,소매업,40
1년 생존율,3,서울,강동구,외식업,69
3년 생존율,3,서울,강동구,외식업,40.2
5년 생존율,3,서울,강동구,외식업,26.4
1년 생존율,1,서울,강북구,서비스업,76
3년 생존율,1,서울,강북구,서비스업,49.3
5년 생존율,1,서울,강북구,서비스업,37.5
1년 생존율,1,서울,강북구,소매업,72.1
3년 생존율,1,서울,강북구,소매업,49
5년 생존율,1,서울,강북구,소매업,35.3
1년 생존율,1,서울,강북구,외식업,63.7
3년 생존율,1,서울,강북구,외식업,36.1
5년 생존율,1,서울,강북구,외식업,26
1년 생존율,2,서울,강북구,서비스업,79.1
3년 생존율,2,서울,강북구,서비스업,49.3
5년 생존율,2,서울,강북구,서비스업,36.9
1년 생존율,2,서울,강북구,소매업,73.7
3년 생존율,2,서울,강북구,소매업,48.8
5년 생존율,2,서울,강북구,소매업,32.9
1년 생존율,2,서울,강북구,외식업,66.6
3년 생존율,2,서울,강북구,외식업,35
5년 생존율,2,서울,강북구,외식업,24.9
1년 생존율,3,서울,강북구,서비스업,80.6
3년 생존율,3,서울,강북구,서비스업,47.4
5년 생존율,3,서울,강북구,서비스업,36.2
1년 생존율,3,서울,강북구,소매업,74.3
3년 생존율,3,서울,강북구,소매업,49.2
5년 생존율,3,서울,강북구,소매업,32
1년 생존율,3,서울,강북구,외식업,68.6
3년 생존율,3,서울,강북구,외식업,35.9
5년 생존율,3,서울,강북구,외식업,24.5
1년 생존율,4,서울,강북구,서비스업,80.2
3년 생존율,4,서울,강북구,서비스업,46.6
5년 생존율,4,서울,강북구,서비스업,35.3
1년 생존율,4,서울,강북구,소매업,73.9
3년 생존율,4,서울,강북구,소매업,47.7
5년 생존율,4,서울,강북구,소매업,31.7
1년 생존율,4,서울,강북구,외식업,66.5
3년 생존율,4,서울,강북구,외식업,34.4
5년 생존율,4,서울,강북구,외식업,25.2
1년 생존율,1,서울,강북구,서비스업,78.7
3년 생존율,1,서울,강북구,서비스업,51
5년 생존율,1,서울,강북구,서비스업,35.8
1년 생존율,1,서울,강북구,소매업,72.3
3년 생존율,1,서울,강북구,소매업,48.5
5년 생존율,1,서울,강북구,소매업,32.3
1년 생존율,1,서울,강북구,외식업,65.9
3년 생존율,1,서울,강북구,외식업,32.9
5년 생존율,1,서울,강북구,외식업,24.7
1년 생존율,2,서울,강북구,서비스업,79.2
3년 생존율,2,서울,강북구,서비스업,50.5
5년 생존율,2,서울,강북구,서비스업,39
1년 생존율,2,서울,강북구,소매업,74.5
3년 생존율,2,서울,강북구,소매업,46.7
5년 생존율,2,서울,강북구,소매업,34.1
1년 생존율,2,서울,강북구,외식업,62.8
3년 생존율,2,서울,강북구,외식업,33.6
5년 생존율,2,서울,강북구,외식업,24
1년 생존율,3,서울,강북구,서비스업,76.1
3년 생존율,3,서울,강북구,서비스업,53.7
5년 생존율,3,서울,강북구,서비스업,38.7
1년 생존율,3,서울,강북구,소매업,74.3
3년 생존율,3,서울,강북구,소매업,46.1
5년 생존율,3,서울,강북구,소매업,34.7
1년 생존율,3,서울,강북구,외식업,61.7
3년 생존율,3,서울,강북구,외식업,33.2
5년 생존율,3,서울,강북구,외식업,24
1년 생존율,4,서울,강북구,서비스업,75.4
3년 생존율,4,서울,강북구,서비스업,53.9
5년 생존율,4,서울,강북구,서비스업,38.3
1년 생존율,4,서울,강북구,소매업,74.8
3년 생존율,4,서울,강북구,소매업,47.6
5년 생존율,4,서울,강북구,소매업,34.1
1년 생존율,4,서울,강북구,외식업,64.5
3년 생존율,4,서울,강북구,외식업,32.9
5년 생존율,4,서울,강북구,외식업,22.7
1년 생존율,1,서울,강북구,서비스업,76.2
3년 생존율,1,서울,강북구,서비스업,53.2
5년 생존율,1,서울,강북구,서비스업,34.7
1년 생존율,1,서울,강북구,소매업,76.7
3년 생존율,1,서울,강북구,소매업,50.2
5년 생존율,1,서울,강북구,소매업,34.6
1년 생존율,1,서울,강북구,외식업,64.7
3년 생존율,1,서울,강북구,외식업,33.5
5년 생존율,1,서울,강북구,외식업,23.3
1년 생존율,2,서울,강북구,서비스업,74.9
3년 생존율,2,서울,강북구,서비스업,52
5년 생존율,2,서울,강북구,서비스업,33
1년 생존율,2,서울,강북구,소매업,76.5
3년 생존율,2,서울,강북구,소매업,51.2
5년 생존율,2,서울,강북구,소매업,34.6
1년 생존율,2,서울,강북구,외식업,66.3
3년 생존율,2,서울,강북구,외식업,35.1
5년 생존율,2,서울,강북구,외식업,23
1년 생존율,3,서울,강북구,서비스업,74.1
3년 생존율,3,서울,강북구,서비스업,52
5년 생존율,3,서울,강북구,서비스업,32.9
1년 생존율,3,서울,강북구,소매업,76.9
3년 생존율,3,서울,강북구,소매업,51.7
5년 생존율,3,서울,강북구,소매업,35
1년 생존율,3,서울,강북구,외식업,68.1
3년 생존율,3,서울,강북구,외식업,36.2
5년 생존율,3,서울,강북구,외식업,22.1
1년 생존율,4,서울,강북구,서비스업,75
3년 생존율,4,서울,강북구,서비스업,51.9
5년 생존율,4,서울,강북구,서비스업,31.9
1년 생존율,4,서울,강북구,소매업,74.9
3년 생존율,4,서울,강북구,소매업,49.4
5년 생존율,4,서울,강북구,소매업,35
1년 생존율,4,서울,강북구,외식업,66.9
3년 생존율,4,서울,강북구,외식업,34.5
5년 생존율,4,서울,강북구,외식업,21.5
1년 생존율,1,서울,강북구,서비스업,73.8
3년 생존율,1,서울,강북구,서비스업,52.6
5년 생존율,1,서울,강북구,서비스업,37.8
1년 생존율,1,서울,강북구,소매업,72.1
3년 생존율,1,서울,강북구,소매업,46.6
5년 생존율,1,서울,강북구,소매업,35.2
1년 생존율,1,서울,강북구,외식업,67
3년 생존율,1,서울,강북구,외식업,34.9
5년 생존율,1,서울,강북구,외식업,20.9
1년 생존율,2,서울,강북구,서비스업,76
3년 생존율,2,서울,강북구,서비스업,55.6
5년 생존율,2,서울,강북구,서비스업,40.4
1년 생존율,2,서울,강북구,소매업,70.4
3년 생존율,2,서울,강북구,소매업,48.1
5년 생존율,2,서울,강북구,소매업,35
1년 생존율,2,서울,강북구,외식업,66
3년 생존율,2,서울,강북구,외식업,34.9
5년 생존율,2,서울,강북구,외식업,21.8
1년 생존율,3,서울,강북구,서비스업,77.4
3년 생존율,3,서울,강북구,서비스업,54.2
5년 생존율,3,서울,강북구,서비스업,43
1년 생존율,3,서울,강북구,소매업,72.4
3년 생존율,3,서울,강북구,소매업,47.5
5년 생존율,3,서울,강북구,소매업,35.1
1년 생존율,3,서울,강북구,외식업,67.4
3년 생존율,3,서울,강북구,외식업,35.3
5년 생존율,3,서울,강북구,외식업,21.3
1년 생존율,4,서울,강북구,서비스업,75.3
3년 생존율,4,서울,강북구,서비스업,53.9
5년 생존율,4,서울,강북구,서비스업,43.7
1년 생존율,4,서울,강북구,소매업,69.4
3년 생존율,4,서울,강북구,소매업,47.8
5년 생존율,4,서울,강북구,소매업,35.6
1년 생존율,4,서울,강북구,외식업,62.4
3년 생존율,4,서울,강북구,외식업,32.9
5년 생존율,4,서울,강북구,외식업,20.4
1년 생존율,1,서울,강북구,서비스업,80.3
3년 생존율,1,서울,강북구,서비스업,52.1
5년 생존율,1,서울,강북구,서비스업,41.5
1년 생존율,1,서울,강북구,소매업,74.5
3년 생존율,1,서울,강북구,소매업,50.5
5년 생존율,1,서울,강북구,소매업,41
1년 생존율,1,서울,강북구,외식업,66.5
3년 생존율,1,서울,강북구,외식업,34.7
5년 생존율,1,서울,강북구,외식업,27.8
1년 생존율,2,서울,강북구,서비스업,80.4
3년 생존율,2,서울,강북구,서비스업,52.2
5년 생존율,2,서울,강북구,서비스업,40.4
1년 생존율,2,서울,강북구,소매업,74.4
3년 생존율,2,서울,강북구,소매업,50.3
5년 생존율,2,서울,강북구,소매업,39.9
1년 생존율,2,서울,강북구,외식업,66.7
3년 생존율,2,서울,강북구,외식업,34.8
5년 생존율,2,서울,강북구,외식업,26.4
1년 생존율,3,서울,강북구,서비스업,80.4
3년 생존율,3,서울,강북구,서비스업,52.2
5년 생존율,3,서울,강북구,서비스업,39.8
1년 생존율,3,서울,강북구,소매업,74.4
3년 생존율,3,서울,강북구,소매업,50.3
5년 생존율,3,서울,강북구,소매업,39.3
1년 생존율,3,서울,강북구,외식업,66.7
3년 생존율,3,서울,강북구,외식업,34.8
5년 생존율,3,서울,강북구,외식업,24.8
1년 생존율,1,서울,강서구,서비스업,77.3
3년 생존율,1,서울,강서구,서비스업,52.7
5년 생존율,1,서울,강서구,서비스업,37.2
1년 생존율,1,서울,강서구,소매업,75.1
3년 생존율,1,서울,강서구,소매업,49.5
5년 생존율,1,서울,강서구,소매업,35.1
1년 생존율,1,서울,강서구,외식업,65
3년 생존율,1,서울,강서구,외식업,35.6
5년 생존율,1,서울,강서구,외식업,24.9
1년 생존율,2,서울,강서구,서비스업,79.9
3년 생존율,2,서울,강서구,서비스업,54.3
5년 생존율,2,서울,강서구,서비스업,35.9
1년 생존율,2,서울,강서구,소매업,74.1
3년 생존율,2,서울,강서구,소매업,50.8
5년 생존율,2,서울,강서구,소매업,34.3
1년 생존율,2,서울,강서구,외식업,68
3년 생존율,2,서울,강서구,외식업,35.3
5년 생존율,2,서울,강서구,외식업,24.1
1년 생존율,3,서울,강서구,서비스업,81.7
3년 생존율,3,서울,강서구,서비스업,54
5년 생존율,3,서울,강서구,서비스업,38.3
1년 생존율,3,서울,강서구,소매업,74.4
3년 생존율,3,서울,강서구,소매업,51.6
5년 생존율,3,서울,강서구,소매업,37.1
1년 생존율,3,서울,강서구,외식업,68.8
3년 생존율,3,서울,강서구,외식업,36.2
5년 생존율,3,서울,강서구,외식업,22.4
1년 생존율,4,서울,강서구,서비스업,80.5
3년 생존율,4,서울,강서구,서비스업,53.1
5년 생존율,4,서울,강서구,서비스업,38.7
1년 생존율,4,서울,강서구,소매업,72.8
3년 생존율,4,서울,강서구,소매업,51.9
5년 생존율,4,서울,강서구,소매업,37.2
1년 생존율,4,서울,강서구,외식업,68.1
3년 생존율,4,서울,강서구,외식업,35.1
5년 생존율,4,서울,강서구,외식업,23.8
1년 생존율,1,서울,강서구,서비스업,80.2
3년 생존율,1,서울,강서구,서비스업,53.7
5년 생존율,1,서울,강서구,서비스업,38.5
1년 생존율,1,서울,강서구,소매업,74.4
3년 생존율,1,서울,강서구,소매업,51.5
5년 생존율,1,서울,강서구,소매업,38
1년 생존율,1,서울,강서구,외식업,67.8
3년 생존율,1,서울,강서구,외식업,34.9
5년 생존율,1,서울,강서구,외식업,22.1
1년 생존율,2,서울,강서구,서비스업,78.9
3년 생존율,2,서울,강서구,서비스업,53.3
5년 생존율,2,서울,강서구,서비스업,39.5
1년 생존율,2,서울,강서구,소매업,75.3
3년 생존율,2,서울,강서구,소매업,52.5
5년 생존율,2,서울,강서구,소매업,37.8
1년 생존율,2,서울,강서구,외식업,67.6
3년 생존율,2,서울,강서구,외식업,34.6
5년 생존율,2,서울,강서구,외식업,23.1
1년 생존율,3,서울,강서구,서비스업,77.8
3년 생존율,3,서울,강서구,서비스업,54.5
5년 생존율,3,서울,강서구,서비스업,38.5
1년 생존율,3,서울,강서구,소매업,77
3년 생존율,3,서울,강서구,소매업,52.5
5년 생존율,3,서울,강서구,소매업,37.2
1년 생존율,3,서울,강서구,외식업,66.2
3년 생존율,3,서울,강서구,외식업,35.2
5년 생존율,3,서울,강서구,외식업,23.5
1년 생존율,4,서울,강서구,서비스업,77.1
3년 생존율,4,서울,강서구,서비스업,56.6
